site,departure,code
solresor,Stockholm,STO
solresor,Köpenhamn,CPH
solresor,Göteborg,GOT
solresor,Jönköping,JKG
solresor,Kalmar,KLR
solresor,Luleå,LLA
solresor,Malmö,MMX
solresor,Norrköping,NRK
solresor,Örebro,ORB
solresor,Umeå,UME
solresor,Växjö,VXO
norwegianholidays,Stockholm,STO
norwegianholidays,Köpenhamn,CPH
norwegianholidays,Göteborg,GOT
norwegianholidays,Växjö,VXO
norwegianholidays,Umeå,UME
norwegianholidays,Luleå,LLA
norwegianholidays,Visby,VBY
norwegianholidays,Kiruna,KRN
norwegianholidays,Skellefteå,SFT
mixxtravel,Köpenhamn,CPH
mixxtravel,Göteborg,GOT
mixxtravel,Norrköping,NRK
mixxtravel,Stockholm,ARN
ving,Stockholm,2788
ving,Göteborg,2770
ving,Malmö,2781
ving,Köpenhamn,2583
ving,Borlänge,2769
ving,Jönköping,2773
ving,Kalmar,2774
ving,Karlstad,2775
ving,Kiruna,2776
ving,Linköping,2778
ving,Luleå,2779
ving,Norrköping,2782
ving,Skellefteå,2787
ving,Stockholm-Nyköping Skavsta,4041
ving,Sundsvall,2791
ving,Umeå,2793
ving,Visby,2796
ving,Växjö,2795
ving,Åre Östersund,2785
ving,Örebro,2783
airtours,Köpenhamn,CPH
airtours,Göteborg,GOT
airtours,Stockholm,ARN
airtours,Växjö,VXO
airtours,Stockholm-Nyköping Skavsta,NYO
tui,Göteborg-Landvetter,GOT
tui,Jönköping,JKG
tui,Kalmar,KLR
tui,Karlstad,KSD
tui,Köpenhamn,CPH
tui,Halmstad,HAD
tui,Linköping,LPI
tui,Luleå,LLA
tui,Malmö,MMX
tui,Norrköping,NRK
tui,Skellefteå,SFT
tui,Stockholm,ARN
tui,Stockholm-Bromma,BMA
tui,Stockholm-Nyköping Skavsta,NYO
tui,Sundsvall,SDL
tui,Umeå,UME
tui,Visby,VBY
tui,Växjö,VXO
tui,Åre/Östersund,OSD
tui,Örebro,ORB
sunweb,Köpenhamn,CPH
sunweb,Göteborg,GOT
sunweb,Stockholm,ARN
sunweb,Växjö,VXO
sunweb,Stockholm-Nyköping Skavsta,NYO
apollo,Stockholm,ARN
apollo,Göteborg,GOT
apollo,Malmö,MMX
apollo,Köpenhamn,CPH
apollo,Åre/Östersund,OSD
apollo,Karlstad,KSD
apollo,Kiruna,KRN
apollo,Luleå,LLA
apollo,Norrköping,NRK
apollo,Örebro,ORB
apollo,Skellefteå,SFT
apollo,Umeå,UME
apollo,Växjö,VXO
apollo,Visby,VBY
detur,Köpenhamn,372
detur,Oslo - Gardemoen (OSL),341
detur,Göteborg,373
detur,Jönköping,1351
detur,Malmö,377
detur,Norrköping,1929
detur,Stockholm,374
detur,Stockholm-Nyköping Skavsta,3526
detur,Umeå,2870
tripx,Stockholm,STO
tripx,Köpenhamn,CPH
tripx,Göteborg,GOT
tripx,Malmö,MMX
tripx,Växjö,VXO
tripx,Umeå,UME
tripx,Luleå,LLA
tripx,Västerås,VST
tripx,Visby,VBY
tripx,Skellefteå,SFT
almena,Arlanda,Arlanda
almena,Billund,Billund
almena,Göteborg,Göteborg
almena,Köpenhamn,Köpenhamn


